,Customer Views,Beer Selection,Group Experience,Ambience,Burger
Brewery Tours of Indianapolis,3.9426841950044036,5.4689154624938965,4.984259337186813,0.49630162864923477,0.011978070251643658
New Day Craft,18.079265686683357,185.54278793092817,32.268484451808035,61.00002246629447,13.882406428456306
Indiana on Tap Tasting Society,1.3123531490564346,10.701467514038086,0.9233548026531935,0.9005213603377342,0.07663998566567898
Bier Brewery and Tap Room,13.526506748050451,89.30174663104117,8.4292101142928,30.020590126514435,2.700975107960403
Yards Brewing Company,79.47225342411548,328.7750045573339,138.29856729973108,148.92996573261917,71.17209545243531
Flying Fish Crafthouse,45.787733810953796,23.29510507080704,21.06430417764932,24.993475603871047,19.056062749587
Centerpoint Brewing,6.108177884481847,62.4390011774376,11.01012694183737,30.595892441459,1.9403140284121037
Uptown Beer Garden,3.1509029120206833,1.8701834231615067,1.468269020318985,1.3720574267208576,0.09255839139223099
Pier Bar,1.0716681480407715,1.3072247207164764,1.0882800817489624,2.7876658365130424,2.6577776968479156
Tow Yard Brewing,53.54664838407189,66.77438199333847,33.49824560340494,43.46442695334554,36.38769438583404
Love City Brewing Company,13.792487145401537,71.68555082846433,21.78373152576387,50.3572782445699,4.113886037841439
Alma Mater,12.347501628100872,5.76538110524416,3.4623513547703624,4.531207885593176,4.683791132643819
Flat12 Bierwerks - Indianapolis,15.774820005521178,118.89047406986356,13.721568010747433,55.08022300340235,5.798162791877985
Manayunk Brewery,167.9824738400057,131.50820360332727,110.47343821823597,195.57612749841064,100.62147514801472
Attic Brewing Company,1.969729846343398,12.242272187955678,2.3386212280020118,9.13291494641453,1.1670167120173573
Daredevil Hall,26.680914925411344,35.42615602910519,30.286054199561477,39.20254160091281,56.339893910102546
Books & Brews - Broad Ripple,6.605976901948452,21.973441317677498,6.1641790410503745,17.413051402196288,3.450176840648055
Crime & Punishment Brewing,21.493096290156245,71.23318952135742,21.405071224085987,48.20347611606121,24.344523488543928
Xfinity Live! Philadelphia,112.50654344912618,152.4239289285615,36.29295455664396,52.61803741194308,11.495157115161419
Metazoa Brewing Company,34.052009333856404,159.36347925383598,24.280917118303478,102.77146253548563,4.113281706348062
Deviate Brewing,9.14181250333786,78.76978818699718,9.363894088193774,26.69802850857377,2.921668741852045
Wabash Brewing,3.0074943406507373,19.946325212717056,5.169077220372856,11.556122608482838,0.9948662435635924
Victory Brewing Company Philadelphia,5.5419792952016,10.45417599286884,10.740539763122797,16.44689135067165,8.489230674691498
Black Acre Garden,2.555539334192872,11.566173797473311,3.5211404282599688,11.581335216760635,0.5717309806495905
Triumph Brewing Company,60.474069128744304,102.99157713074237,41.02021970320493,72.00508091039956,48.654729502275586
With Love Beer Garden,0.24977825954556465,2.812378406524658,0.8316251710057259,0.4501132667064667,0.6325797140598297
Earth Bread + Brewery,58.70586034562439,74.87319186516106,34.4585541235283,138.89179591089487,87.50871072988957
Malt House Ltd,2.5706988889724016,7.227231547236443,1.7595856338739395,0.3130482863634825,0.01582178846001625
Bainbridge Street Barrel House,102.72276477050036,42.54068361315876,53.359457451850176,84.8140400024131,79.42372905090451
Chinatown Popup Beer Garden,2.2345263361930847,0.5827336013317108,1.0477480441331863,0.9626201540231705,0.16098907589912415
Twisted Gingers Brewing Company,2.3636347027495503,10.01131273061037,1.1951288767158985,9.172527952119708,3.026842621155083
Inspired Brews,2.2676503201946616,13.39180022943765,1.977044342085719,2.3892377354204655,0.8639552751556039
Liter House,25.068330213427544,32.41251654922962,27.836594284512103,62.34352633729577,58.14262775238603
Craft Hall,16.707468139007688,16.415098405443132,7.7926163813099265,15.372451338917017,9.346859627403319
Bent Rail Brewery,21.018896623514593,37.62701858859509,10.175045455805957,22.04106447659433,19.56687270477414
Granite City Food & Brewery,64.12138183787465,35.66900441981852,58.38206724449992,43.64429971110076,70.18091128673404
TwoDEEP Brewing,15.324497590772808,71.92138817626983,16.55266214814037,37.120036417618394,8.885050777345896
